"","x"
"1","Dm_00018931-RA"
"2","Dm_00006565-RA"
"3","Dm_00006067-RA"
"4","Dm_00006686-RA"
"5","Dm_00005096-RA"
"6","Dm_00001587-RA"
"7","Dm_00003863-RA"
"8","Dm_00003687-RA"
"9","Dm_00004330-RA"
"10","Dm_00003591-RA"
"11","Dm_00014282-RA"
"12","Dm_00014283-RA"
"13","Dm_00015696-RA"
"14","Dm_00016509-RA"
"15","Dm_00009633-RA"
"16","Dm_00007678-RA"
"17","Dm_00007196-RA"
"18","Dm_00008686-RA"
"19","Dm_00006755-RA"
"20","Dm_00011808-RA"
"21","Dm_00007618-RA"
"22","Dm_00013656-RA"
"23","Dm_00010608-RA"
"24","Dm_00000696-RA"
"25","Dm_00003992-RA"
"26","Dm_00018313-RA"
"27","Dm_00007921-RA"
"28","Dm_00016437-RA"
"29","Dm_00016075-RA"
"30","Dm_00003672-RA"
"31","Dm_00003671-RA"
"32","Dm_00003910-RA"
"33","Dm_00012140-RA"
"34","Dm_00010728-RA"
"35","Dm_00003078-RA"
"36","Dm_00002703-RA"
"37","Dm_00002194-RA"
"38","Dm_00002265-RA"
"39","Dm_00003023-RA"
"40","Dm_00002592-RA"
"41","Dm_00019985-RA"
"42","Dm_00006483-RA"
"43","Dm_00018933-RA"
"44","Dm_00017820-RA"
"45","Dm_00010216-RA"
"46","Dm_00005500-RA"
"47","Dm_00004916-RA"
"48","Dm_00005262-RA"
"49","Dm_00005267-RA"
"50","Dm_00015928-RA"
"51","Dm_00015515-RA"
"52","Dm_00012269-RA"
"53","Dm_00011154-RA"
"54","Dm_00020594-RA"
"55","Dm_00007945-RA"
"56","Dm_00008809-RA"
"57","Dm_00018495-RA"
"58","Dm_00018645-RA"
"59","Dm_00017421-RA"
